year,month,state,county,cz_type,wfo,lat,lon,deaths,damage,narrative
1998,January,VIRGINIA,LANCASTER,Z,AKQ,36.98,-76.49,0,,
1998,January,MASSACHUSETTS,DUKES,Z,BOX,41.96,-71.13,0,,
1998,January,DELAWARE,DELAWARE BEACHES,Z,PHI,39.86,-74.46,0,800K,
1998,January,DELAWARE,INLAND SUSSEX,Z,PHI,39.86,-74.46,0,500K,
1998,January,DELAWARE,KENT,Z,PHI,39.86,-74.46,0,,
1998,May,NEW JERSEY,EASTERN ATLANTIC,Z,PHI,39.86,-74.46,0,,
1998,May,NEW JERSEY,EASTERN CAPE MAY,Z,PHI,39.86,-74.46,0,,
1998,January,MARYLAND,MARYLAND BEACHES / X E WORCESTER,Z,AKQ,36.98,-76.49,0,1.5M,
1998,January,VIRGINIA,NEWPORT NEWS,Z,AKQ,36.98,-76.49,0,,
1998,January,VIRGINIA,NORTHUMBERLAND,Z,AKQ,36.98,-76.49,0,,
1998,May,NEW JERSEY,BURLINGTON,Z,PHI,39.86,-74.46,0,,
1998,May,NEW JERSEY,CAMDEN,Z,PHI,39.86,-74.46,0,,
1998,January,VIRGINIA,MATHEWS,Z,AKQ,36.98,-76.49,0,,
1998,January,VIRGINIA,YORK,Z,AKQ,36.98,-76.49,0,,
1998,January,VIRGINIA,ACCOMACK,Z,AKQ,36.98,-76.49,0,,
1998,January,VIRGINIA,NORTHAMPTON,Z,AKQ,36.98,-76.49,0,,
1998,January,VIRGINIA,GLOUCESTER,Z,AKQ,36.98,-76.49,0,,
1998,January,MASSACHUSETTS,NANTUCKET,Z,BOX,41.96,-71.13,0,,
1998,May,PENNSYLVANIA,BUCKS,Z,PHI,39.86,-74.46,0,,
1998,January,NEW JERSEY,EASTERN ATLANTIC,Z,PHI,39.86,-74.46,0,.5M,
1998,January,NEW JERSEY,EASTERN CAPE MAY,Z,PHI,39.86,-74.46,0,14.5M,
1998,January,MARYLAND,INLAND WORCESTER / EXCEPT X E WORCESTER,Z,AKQ,36.98,-76.49,0,,
1998,May,NEW JERSEY,GLOUCESTER,Z,PHI,39.86,-74.46,0,,
1998,May,PENNSYLVANIA,DELAWARE,Z,PHI,39.86,-74.46,0,,
1998,January,NEW YORK,SOUTHEAST SUFFOLK,Z,OKX,40.87,-72.86,0,,
1998,January,NEW JERSEY,HUDSON,Z,OKX,40.87,-72.86,0,,
1998,January,MARYLAND,TALBOT,Z,PHI,39.86,-74.46,0,,
1998,May,PENNSYLVANIA,PHILADELPHIA,Z,PHI,39.86,-74.46,0,,
1998,January,MARYLAND,KENT,Z,PHI,39.86,-74.46,0,,
1998,January,MARYLAND,QUEEN ANNES,Z,PHI,39.86,-74.46,0,,
1998,January,VIRGINIA,VIRGINIA BEACH,Z,AKQ,36.98,-76.49,0,,
1998,April,NEW JERSEY,EASTERN ATLANTIC,Z,PHI,39.86,-74.46,0,,
1998,January,MASSACHUSETTS,EASTERN PLYMOUTH / ALSO PART OF NORFOLK,Z,BOX,41.96,-71.13,0,200K,
1998,May,NEW JERSEY,EASTERN MONMOUTH,Z,PHI,39.86,-74.46,0,,
1998,May,NEW JERSEY,EASTERN OCEAN,Z,PHI,39.86,-74.46,0,,
1998,May,NEW JERSEY,WESTERN MONMOUTH,Z,PHI,39.86,-74.46,0,,
1998,January,VIRGINIA,NORFOLK,Z,AKQ,36.98,-76.49,0,1.5M,
1998,May,NEW JERSEY,MIDDLESEX,Z,PHI,39.86,-74.46,0,,
1998,January,NEW JERSEY,EASTERN MONMOUTH,Z,PHI,39.86,-74.46,0,,
1998,January,NEW JERSEY,EASTERN OCEAN,Z,PHI,39.86,-74.46,0,,
1998,January,NEW YORK,NASSAU,Z,OKX,40.87,-72.86,0,,
1998,May,DELAWARE,INLAND SUSSEX,Z,PHI,39.86,-74.46,0,,
1998,April,LOUISIANA,CAMERON,Z,LCH,30.13,-93.22,0,75K,
1998,April,LOUISIANA,ST. MARY,Z,LCH,30.13,-93.22,0,50K,
1998,March,FLORIDA,PASCO,C,TBW,28.302,-82.4557,0,175K,Winds in excess of 50 mph caused coastal flooding and beach erosion to several locations west of U.S. Highway 19 in New Port Richey.  Several roads had water that covered roadways two to three feet de
1998,April,NEW JERSEY,EASTERN CAPE MAY,Z,PHI,39.86,-74.46,0,,
1998,April,NEW JERSEY,EASTERN OCEAN,Z,PHI,39.86,-74.46,0,,
1998,April,NEW JERSEY,EASTERN MONMOUTH,Z,PHI,39.86,-74.46,0,,
1998,May,DELAWARE,DELAWARE BEACHES,Z,PHI,39.86,-74.46,0,,
1998,February,NEW JERSEY,CAMDEN,Z,PHI,39.86,-74.46,0,,
1998,February,VIRGINIA,NEWPORT NEWS,Z,AKQ,36.98,-76.49,0,,
1998,February,VIRGINIA,VIRGINIA BEACH,Z,AKQ,36.98,-76.49,0,,
1998,February,MARYLAND,CAROLINE,Z,PHI,39.86,-74.46,0,,
1998,February,MARYLAND,CHARLES,Z,LWX,38.98,-77.47,0,150K,
1998,February,NEW YORK,SOUTHEAST SUFFOLK,Z,OKX,40.87,-72.86,0,,
1998,February,NEW YORK,SOUTHEAST SUFFOLK,Z,OKX,40.87,-72.86,0,,
1998,February,MARYLAND,MARYLAND BEACHES / X E WORCESTER,Z,AKQ,36.98,-76.49,0,1.5M,
1998,February,MARYLAND,TALBOT,Z,PHI,39.86,-74.46,0,,
1998,February,MARYLAND,KENT,Z,PHI,39.86,-74.46,0,,
1998,February,MARYLAND,ST. MARY'S,Z,LWX,38.98,-77.47,0,250K,
1998,February,MARYLAND,ANNE ARUNDEL,Z,LWX,38.98,-77.47,0,50K,
1998,February,VIRGINIA,NORTHUMBERLAND,Z,AKQ,36.98,-76.49,0,,
1998,February,VIRGINIA,GLOUCESTER,Z,AKQ,36.98,-76.49,0,,
1998,February,DELAWARE,DELAWARE BEACHES,Z,PHI,39.86,-74.46,0,,
1998,February,NEW JERSEY,EASTERN CAPE MAY,Z,PHI,39.86,-74.46,0,,
1998,February,VIRGINIA,YORK / POQUOSON,Z,AKQ,36.98,-76.49,0,75M,
1998,February,MARYLAND,INLAND WORCESTER / EXCEPT X E WORCESTER,Z,AKQ,36.98,-76.49,0,,
1998,February,MARYLAND,QUEEN ANNES,Z,PHI,39.86,-74.46,0,,
1998,February,VIRGINIA,ACCOMACK,Z,AKQ,36.98,-76.49,0,,
1998,February,MARYLAND,CALVERT,Z,LWX,38.98,-77.47,0,200K,
1998,February,VIRGINIA,LANCASTER,Z,AKQ,36.98,-76.49,0,,
1998,February,NEW JERSEY,EASTERN CAPE MAY,Z,PHI,39.86,-74.46,0,,
1998,February,DELAWARE,DELAWARE BEACHES,Z,PHI,39.86,-74.46,0,,
1998,February,DELAWARE,DELAWARE BEACHES,Z,PHI,39.86,-74.46,0,1M,
1998,February,DELAWARE,INLAND SUSSEX,Z,PHI,39.86,-74.46,0,700K,
1998,February,DELAWARE,KENT,Z,PHI,39.86,-74.46,0,,
1998,February,MASSACHUSETTS,DUKES,Z,BOX,41.96,-71.13,0,50K,
