yr,mo,dy,st,mag,slat,slon,len,wid
1950,10,9,NC,3,34.17,-78.6,2.0,880
1950,11,4,PA,3,40.2,-76.12,15.9,100
1950,12,2,IL,3,38.75,-89.67,18.0,200
1950,12,2,AR,3,36.12,-91.83,7.8,10
1950,1,13,AR,3,34.4,-94.37,0.6,17
1950,1,3,MO,3,38.77,-90.22,9.5,150
1950,1,3,IL,3,39.1,-89.3,3.6,130
1950,2,11,TX,3,29.67,-95.05,12.0,1000
1950,2,12,TX,3,31.8,-94.2,1.9,50
1950,2,12,LA,4,31.97,-94.0,82.6,100
1950,2,12,LA,3,31.63,-93.65,74.5,100
1950,3,26,AR,3,36.15,-91.83,5.7,200
1950,3,26,AR,3,34.98,-91.73,14.9,1760
1950,4,18,AL,3,30.67,-88.2,14.0,100
1950,4,28,OK,3,34.88,-99.28,20.8,400
1950,4,28,TX,4,32.42,-99.5,1.3,233
1950,4,28,OK,4,35.08,-96.4,4.5,200
1950,4,2,AR,3,35.75,-91.22,2.5,10
1950,5,18,KS,3,38.12,-96.82,14.9,100
1950,5,4,KS,4,38.03,-99.12,34.3,150
1950,5,5,KS,3,39.62,-95.62,17.3,440
1950,6,13,ND,3,46.8,-97.92,2.0,10
1950,6,14,ND,3,48.92,-103.77,23.7,10
1950,6,15,IA,3,41.98,-93.6,5.6,300
1950,6,25,WI,4,45.58,-89.58,13.1,880
1950,6,25,WI,3,43.95,-88.95,0.1,300
1950,6,3,MS,3,33.08,-89.58,2.0,50
1950,6,5,TX,3,30.18,-96.4,23.9,67
1950,6,8,KS,4,38.33,-97.93,17.1,700
1950,7,15,NE,4,41.8,-96.6,10.0,440
1950,7,19,OH,3,40.72,-84.08,9.7,300
1951,11,13,MO,3,36.62,-89.75,1.0,27
1951,11,13,KY,3,37.02,-88.33,2.0,10
1951,12,6,IL,3,41.33,-89.18,21.9,150
1951,1,6,LA,3,31.3,-92.47,16.8,317
1951,2,20,MS,3,33.45,-88.87,0.1,10
1951,3,2,KS,3,39.43,-98.55,38.1,10
1951,4,21,MS,3,31.68,-89.25,33.5,10
1951,4,30,KS,3,37.63,-98.75,12.8,440
1951,4,30,OK,3,35.43,-97.58,7.4,200
1951,5,14,KS,3,39.78,-101.33,0.1,10
1951,5,18,TX,4,33.42,-98.75,2.0,200
1951,5,20,KS,3,37.9,-101.2,12.8,900
1951,5,20,KS,3,39.78,-101.38,0.1,10
1951,5,25,KS,3,39.27,-97.18,4.1,440
1951,6,19,MN,4,44.88,-94.37,52.6,330
1951,6,21,IN,3,41.12,-86.48,5.4,1760
1951,6,27,KS,4,39.03,-99.88,0.8,300
1951,6,27,IL,3,39.95,-89.17,9.6,300
1951,6,27,IL,3,40.27,-89.47,18.2,200
1951,6,1,IA,3,42.07,-92.92,1.5,880
1951,6,6,KS,3,37.58,-101.37,44.8,10
1951,6,6,TX,3,35.43,-101.18,10.4,100
1951,6,8,OK,3,35.38,-98.8,10.9,173
1951,7,20,MN,3,44.93,-93.5,11.6,10
1951,8,21,CT,3,41.58,-72.5,0.1,10
1951,9,12,WI,3,44.63,-92.08,24.4,200
1951,9,26,WI,4,44.33,-89.3,26.4,100
1951,9,26,WI,4,43.47,-89.25,9.0,100
1952,11,16,MO,3,40.45,-95.07,21.6,600
1952,12,9,KY,3,37.68,-87.3,35.0,880
1952,2,13,AL,3,33.57,-87.67,5.6,100
1952,2,13,AL,3,33.6,-86.93,0.1,200
1952,2,13,TN,3,35.22,-86.6,7.4,350
1952,2,13,TN,4,35.2,-86.3,12.7,100
1952,2,13,TN,3,35.25,-85.83,5.1,400
1952,2,29,TN,4,35.15,-86.58,2.0,300
1952,2,29,AL,3,34.5,-85.7,3.3,400
1952,3,10,LA,3,32.23,-93.65,50.9,650
1952,3,21,AR,4,34.02,-94.02,13.0,833
1952,3,21,AR,3,34.72,-92.82,17.7,440
1952,3,21,AR,4,35.22,-91.7,14.6,1760
1952,3,21,AR,4,34.9,-91.85,7.6,10
1952,3,21,AR,3,34.53,-91.8,16.2,10
1952,3,21,AR,3,35.13,-91.45,17.6,600
1952,3,21,AR,4,35.0,-91.25,13.1,880
1952,3,21,AR,3,35.47,-91.2,28.5,440
1952,3,21,TN,4,36.02,-89.2,4.7,200
1952,3,21,AR,4,35.42,-91.0,0.1,880
1952,3,21,AR,3,35.6,-90.72,51.8,880
1952,3,21,AR,3,35.53,-90.42,9.4,200
1952,3,21,AR,3,35.67,-90.52,39.7,880
1952,3,21,MO,4,36.05,-89.82,6.5,880
1952,3,21,TN,3,35.95,-89.43,18.1,1000
1952,3,21,TN,4,36.1,-89.27,2.0,200
1952,3,21,MS,4,34.87,-89.68,29.6,427
1952,3,21,TN,3,35.85,-88.67,0.1,100
1952,3,21,TN,3,36.02,-88.27,5.1,177
1952,3,21,TN,4,35.27,-88.98,46.8,177
1952,3,22,KY,3,37.53,-85.72,2.7,10
1952,3,22,AL,4,34.6,-87.0,21.6,100
1952,3,3,AL,3,33.33,-87.9,3.3,440
1952,3,3,GA,3,32.8,-83.68,4.3,400
1952,4,21,TX,4,31.5,-97.45,2.3,200
1952,4,30,TX,3,31.45,-100.47,0.5,100
1952,4,4,LA,3,30.17,-92.87,36.7,100
1952,4,5,PA,3,39.8,-76.98,17.5,10
1952,5,10,SC,3,34.8,-82.25,22.7,83
1952,5,11,GA,3,31.37,-83.25,4.3,200
1952,5,15,CO,3,40.33,-104.57,7.4,150
1952,5,22,KS,4,38.98,-95.22,26.9,440
1952,6,10,ND,3,47.07,-104.0,8.8,300
1952,6,15,ND,3,47.4,-99.55,1.7,10
1952,6,23,IA,4,42.75,-95.85,24.1,400
1952,6,23,WI,3,45.42,-92.63,18.2,100
1952,7,19,MT,3,46.37,-104.28,55.5,10
1952,7,19,MT,3,46.97,-104.25,16.4,10
1952,7,1,ND,3,46.07,-96.95,0.5,10
1952,7,1,ND,4,47.05,-100.5,48.0,150
1952,8,13,NE,3,41.47,-97.28,44.4,1300
