year,month,state,county,cz_type,wfo,lat,lon,deaths,damage,narrative
1998,October,WASHINGTON,PACIFIC,C,PQR,46.5566,-123.7824,0,0,A slash fire near Naselle Washington got out of control and burned 100 acres before fire crews and cooler weather checked the fire. The 100 acre Bear Fire was west of Washington Highway 401 about 6 mi
1998,September,CALIFORNIA,RIVERSIDE,C,SGX,33.7298,-116.0022,0,,
1998,September,IDAHO,KOOTENAI,C,OTX,47.6771,-116.6949,0,20K,"A 30 acre grass fire spread into timber land, closing Sunny Slope Road.  Breezy winds helped carry the fire."
1998,September,IDAHO,SHOSHONE,C,OTX,47.3477,-115.8851,0,20K,"A 40 acre fire spread out of control, due mostly to breezy conditions."
1998,August,COLORADO,MOFFAT,C,GJT,40.574,-108.2045,0,,
1998,September,CALIFORNIA,ORANGE,C,SGX,33.6757,-117.7772,0,,
1998,October,CALIFORNIA,SANTA BARBARA,C,LOX,34.5374,-120.0385,0,,"The combination of dry vegetation and weak offshore winds helped fuel a wildfire in the Los Padres National Forest, north of the city of Santa Barbara. The Ogilvy Fire, started by sparks from weed cut"
1998,August,NEW JERSEY,MORRIS,C,PHI,40.8586,-74.5474,0,0,
1998,September,OREGON,BAKER,C,BOI,44.7034,-117.6919,0,,"Lightning caused a range fire near Pleasant Valley in Baker County. The fire burned 2,600 acres before being brought under control with 14 fire trucks and five air tanker drops.  No damage was reporte"
1998,May,COLORADO,RIO BLANCO,C,GJT,39.9726,-108.2007,0,,
1998,June,FLORIDA,WALTON,C,TAE,30.6312,-86.1766,0,,"A 100-acre fire in Lake Pippin Estates in Okaloosa County crossed into Walton County.  SR 20 was closed until containment.  One firefighter was injured.  Approximately  50 homes  were threatened, but "
1998,August,CALIFORNIA,RIVERSIDE,C,SGX,33.7298,-116.0022,0,4.5M,
1998,August,CALIFORNIA,SAN DIEGO,C,SGX,33.0236,-116.7761,0,,
1998,August,CALIFORNIA,ORANGE,C,SGX,33.6757,-117.7772,0,,
1998,August,COLORADO,RIO BLANCO,C,GJT,39.9726,-108.2007,0,,
