best_callsign,best_field_strength,best_distance_km,stations_above_threshold,covered,city,state_id,lat,lng,population,county_name
KHB-60,59.19,6.05,1,True,Renton,WA,47.4757,-122.1904,100953.0,King
WXM-62,47.46,22.95,0,False,Chehalis,WA,46.6649,-122.966,7498.0,Lewis
KHB-60,77.74,5.65,2,True,Mercer Island,WA,47.5624,-122.2265,25134.0,King
KHB-60,64.81,21.67,2,True,Lynnwood,WA,47.8285,-122.3034,38092.0,Snohomish
WXM-62,71.91,19.21,1,True,Centralia,WA,46.7226,-122.9695,41077.0,Lewis
KHB-60,67.01,19.51,3,True,Mountlake Terrace,WA,47.7921,-122.3077,21182.0,Snohomish
KHB-60,58.03,11.39,2,True,Seattle,WA,47.6217,-122.3238,3541236.0,King
WXL-86,67.96,17.48,1,True,Liberty Lake,WA,47.6687,-117.1031,9209.0,Spokane
WXL-86,63.62,28.84,1,True,Airway Heights,WA,47.6464,-117.5802,6672.0,Spokane
KHB-60,67.32,18.83,2,True,Brier,WA,47.7924,-122.2736,6743.0,Snohomish
WWG-24,72.6,9.7,3,True,Port Townsend,WA,48.1219,-122.7873,8782.0,Jefferson
WWG-24,64.9,23.6,1,True,Oak Harbor,WA,48.2965,-122.6331,34689.0,Island
WWG-24,35.93,35.33,0,False,Anacortes,WA,48.4878,-122.6291,17667.0,Skagit
WWF-56,72.29,18.38,2,True,Grandview,WA,46.2432,-119.9082,18909.0,Yakima
WXM-48,51.6,32.66,1,True,Quincy,WA,47.2342,-119.8512,7644.0,Grant
WNG-604,36.47,16.77,0,False,Kelso,WA,46.1249,-122.8907,12047.0,Cowlitz
WXL-86,61.52,36.85,1,True,Cheney,WA,47.49,-117.5789,12213.0,Spokane
WXM-62,72.98,16.98,1,True,Lacey,WA,47.0444,-122.7933,47688.0,Thurston
KIG-75,80.87,6.84,1,True,Selah,WA,46.648,-120.5388,7768.0,Yakima
KHB-60,41.77,26.66,0,False,Sultan,WA,47.8703,-121.8036,8681.0,Snohomish
KHB-60,66.07,21.73,3,True,Edmonds,WA,47.8114,-122.3534,41840.0,Snohomish
KHB-60,68.16,17.07,1,True,Lake Forest Park,WA,47.7592,-122.2877,13266.0,King
KIG-75,79.48,8.04,1,True,Yakima,WA,46.5926,-120.5492,133687.0,Yakima
KHB-60,62.77,20.63,1,True,Pacific,WA,47.261,-122.2507,7122.0,King
KHB-60,45.01,12.53,0,False,Snoqualmie,WA,47.5292,-121.8409,25455.0,King
KAD-93,73.35,9.4,3,True,Lynden,WA,48.9502,-122.4542,16966.0,Whatcom
KHB-60,66.3,19.37,2,True,Federal Way,WA,47.3091,-122.3358,96757.0,King
KHB-60,65.39,22.51,1,True,Mill Creek,WA,47.8631,-122.2037,20303.0,Snohomish
WXM-62,54.38,31.46,2,True,Lakewood,WA,47.1627,-122.5299,60665.0,Pierce
XKK-506,53.15,45.17,1,True,Port Angeles,WA,48.1141,-123.4565,23818.0,Clallam
KIG-75,59.02,13.69,2,True,Wapato,WA,46.4435,-120.4213,7723.0,Yakima
KHB-60,46.21,43.3,0,False,Arlington,WA,48.1698,-122.144,19112.0,Snohomish
KHB-60,78.54,5.16,1,True,Sammamish,WA,47.6045,-122.0446,63773.0,King
KHB-60,71.05,12.24,1,True,Covington,WA,47.3665,-122.105,20478.0,King
WXM-48,73.88,8.83,1,True,Wenatchee,WA,47.4251,-120.329,71426.0,Chelan
WWF-49,42.58,15.49,0,False,Omak,WA,48.4214,-119.5178,8208.0,Okanogan
WWG-24,55.54,46.61,1,True,Sedro-Woolley,WA,48.5095,-122.2344,11476.0,Skagit
WWF-56,69.84,20.58,2,True,Sunnyside,WA,46.3159,-120.0058,17931.0,Yakima
WXM-62,62.94,49.0,1,True,Normandy Park,WA,47.4344,-122.3436,6651.0,King
WXM-62,62.1,51.06,2,True,SeaTac,WA,47.4444,-122.2985,28873.0,King
WXM-62,68.37,28.98,1,True,Steilacoom,WA,47.1702,-122.5938,6309.0,Pierce
WNG-604,70.08,13.65,2,True,Ridgefield,WA,45.8112,-122.7053,6318.0,Clark
WWF-56,70.01,23.91,2,True,Kennewick,WA,46.1979,-119.1732,229624.0,Benton
