best_callsign,best_field_strength,best_distance_km,stations_above_threshold,covered,lat,lon,min_dist_to_city_mi
,0.0,,0,False,25.0,-125.0,707.5052575208832
,0.0,,0,False,25.5,-125.0,681.6202592265475
,0.0,,0,False,26.0,-125.0,656.3656456119378
,0.0,,0,False,26.5,-125.0,624.7522901502479
,0.0,,0,False,27.0,-125.0,593.4632210775006
,0.0,,0,False,27.5,-125.0,562.5525541783759
,0.0,,0,False,28.0,-125.0,532.0862443840693
,0.0,,0,False,28.5,-125.0,502.1451816006533
,0.0,,0,False,29.0,-125.0,472.8291601759272
,0.0,,0,False,29.5,-125.0,444.2619360832777
,0.0,,0,False,30.0,-125.0,416.59758170511657
,0.0,,0,False,30.5,-125.0,390.0282662248088
,0.0,,0,False,31.0,-125.0,364.7933384981136
,0.0,,0,False,31.5,-125.0,341.18901036810865
,0.0,,0,False,32.0,-125.0,319.57680272075305
,0.0,,0,False,32.5,-125.0,300.3870123084672
,0.0,,0,False,33.0,-125.0,284.11091988365905
,0.0,,0,False,33.5,-125.0,269.4858139638843
,0.0,,0,False,34.0,-125.0,250.57088996744133
,0.0,,0,False,34.5,-125.0,226.48105799689156
KHB-49,-7.18,225.09,0,False,35.0,-125.0,205.39495831316776
KHB-49,-3.02,200.06,0,False,35.5,-125.0,188.32426569485324
KHB-49,0.38,178.23,0,False,36.0,-125.0,174.39905022482543
KHB-49,2.73,160.92,0,False,36.5,-125.0,156.42058395885437
KHB-49,4.1,149.7,0,False,37.0,-125.0,144.5882585069589
KIH-30,17.06,132.24,0,False,37.5,-125.0,133.69505794842064
KIH-30,29.06,106.63,0,False,38.0,-125.0,118.66902150881015
KIH-30,38.54,87.39,0,False,38.5,-125.0,91.45964858197675
KIH-30,46.51,79.32,0,False,39.0,-125.0,70.95201114933413
KIH-30,39.44,85.64,0,False,39.5,-125.0,63.955440625856234
WNG-720,33.65,103.07,0,False,40.0,-125.0,60.684361255314364
KEC-82,62.99,46.6,2,True,40.5,-125.0,45.45131750745038
WZ-2550,58.26,66.69,2,True,41.0,-125.0,46.27876865141463
KIH-37,55.47,58.81,2,True,41.5,-125.0,45.86892333795745
KIH-37,64.36,40.59,1,True,42.0,-125.0,36.21874914963669
KIH-37,59.26,47.16,1,True,42.5,-125.0,46.532221708346526
WNG-596,45.57,30.64,0,False,43.0,-125.0,46.67207442681495
KIH-32,50.56,44.23,1,True,43.5,-125.0,38.829682127177755
WNG-674,52.07,49.76,1,True,44.0,-125.0,44.415573491126146
WNG-674,50.45,55.29,1,True,44.5,-125.0,47.418479996517256
WNG-697,52.15,62.42,1,True,45.0,-125.0,48.54126634317612
WNG-697,51.1,63.5,1,True,45.5,-125.0,56.54171298724027
WWF-94,45.13,53.38,0,False,46.0,-125.0,51.78388126148678
KEC-91,49.25,57.65,0,False,46.5,-125.0,51.58017969592104
KXI-27,51.24,64.49,1,True,47.0,-125.0,40.02517913140141
KXI-27,63.52,41.98,1,True,47.5,-125.0,54.13345354830664
KIH-36,66.9,29.74,2,True,48.0,-125.0,71.71503813966685
KIH-36,72.59,17.48,3,True,48.5,-125.0,75.77881879274949
CIZ-319,17.14,22.47,0,False,49.0,-125.0,93.42671798394473
,0.0,,0,False,25.0,-124.5,687.5133757099286
,0.0,,0,False,25.5,-124.5,660.9404671225456
,0.0,,0,False,26.0,-124.5,635.1279594258709
,0.0,,0,False,26.5,-124.5,610.1723700235957
,0.0,,0,False,27.0,-124.5,580.6788124069736
,0.0,,0,False,27.5,-124.5,549.1153424688763
,0.0,,0,False,28.0,-124.5,517.9302607274
,0.0,,0,False,28.5,-124.5,487.19623600956294
,0.0,,0,False,29.0,-124.5,457.00428188359706
,0.0,,0,False,29.5,-124.5,427.4692746357996
,0.0,,0,False,30.0,-124.5,398.73722607387936
,0.0,,0,False,30.5,-124.5,370.9947430576736
,0.0,,0,False,31.0,-124.5,344.4809921756495
,0.0,,0,False,31.5,-124.5,319.502019602698
,0.0,,0,False,32.0,-124.5,296.4460493657928
,0.0,,0,False,32.5,-124.5,275.79578296140096
,0.0,,0,False,33.0,-124.5,258.1292359994667
,0.0,,0,False,33.5,-124.5,244.09511785523597
,0.0,,0,False,34.0,-124.5,227.9840467493585
,0.0,,0,False,34.5,-124.5,205.8486558136778
WWF-64,-4.04,208.01,0,False,35.0,-124.5,182.54255017576904
KHB-49,0.03,180.51,0,False,35.5,-124.5,163.26621826327903
WWF-64,4.86,164.94,0,False,36.0,-124.5,149.58574624732847
KHB-49,5.64,136.2,0,False,36.5,-124.5,132.0100790901411
KHB-49,12.17,122.93,0,False,37.0,-124.5,117.9449951039729
KIH-30,23.91,117.8,0,False,37.5,-124.5,109.41336373872004
KIH-30,38.16,88.22,0,False,38.0,-124.5,94.91582421543147
KIH-30,54.7,63.84,1,True,38.5,-124.5,75.05495823763792
KIH-30,59.07,52.49,2,True,39.0,-124.5,48.18431705074246
KIH-30,55.51,61.82,2,True,39.5,-124.5,37.37829370077042
WNG-720,46.38,80.24,0,False,40.0,-124.5,44.64448335600077
WNG-596,62.25,16.55,1,True,42.5,-124.5,31.472330617895725
WWF-94,61.59,31.54,2,True,45.5,-124.5,32.3793024540496
KEC-91,66.85,34.04,1,True,46.5,-124.5,35.50264164463143
KXI-27,70.85,22.84,1,True,47.5,-124.5,40.180827409889886
KXI-27,70.83,22.88,2,True,48.0,-124.5,48.83092604685822
KIH-36,76.04,11.92,1,True,48.5,-124.5,54.869526445670886
KIH-36,47.86,44.18,0,False,49.0,-124.5,77.61282000190371
,0.0,,0,False,25.0,-124.0,668.2892461538011
,0.0,,0,False,25.5,-124.0,641.011015176375
,0.0,,0,False,26.0,-124.0,614.4579116186613
,0.0,,0,False,26.5,-124.0,588.7280647556524
,0.0,,0,False,27.0,-124.0,563.9341763887483
,0.0,,0,False,27.5,-124.0,536.9682025389021
,0.0,,0,False,28.0,-124.0,505.0980375012253
,0.0,,0,False,28.5,-124.0,473.60125521293367
,0.0,,0,False,29.0,-124.0,442.5575855286639
,0.0,,0,False,29.5,-124.0,412.06945007652064
,0.0,,0,False,30.0,-124.0,382.26979456285255
,0.0,,0,False,30.5,-124.0,353.33286033587217
,0.0,,0,False,31.0,-124.0,325.48882603368037
,0.0,,0,False,31.5,-124.0,299.04313043649023
,0.0,,0,False,32.0,-124.0,274.4003735797146
,0.0,,0,False,32.5,-124.0,252.08984527025444
,0.0,,0,False,33.0,-124.0,232.78309577150134
,0.0,,0,False,33.5,-124.0,217.2823146841892
KIH-31,-6.29,211.93,0,False,34.0,-124.0,202.48079768789876
KIH-31,-4.07,198.49,0,False,34.5,-124.0,187.16940031548185
WWF-64,-1.26,189.58,0,False,35.0,-124.0,161.3242330827794
WWF-64,4.52,163.58,0,False,35.5,-124.0,139.30167548399257
WWF-64,15.8,141.3,0,False,36.0,-124.0,123.16951882154878
WWF-64,23.8,124.73,0,False,36.5,-124.0,109.12635950633303
KHB-49,27.76,96.57,0,False,37.0,-124.0,91.8094181654758
KHB-49,30.76,91.18,0,False,37.5,-124.0,83.71473874527426
KIH-30,47.98,75.21,0,False,38.0,-124.0,69.3966761455167
KIH-30,63.14,44.32,1,True,38.5,-124.0,56.9413257037189
KIH-30,69.83,25.67,2,True,39.0,-124.0,32.27750666208833
KIH-30,29.52,72.17,0,False,40.0,-124.0,39.97320303909221
KIH-37,9.62,28.29,0,False,42.5,-124.0,33.49919613341961
KXI-27,60.0,19.1,2,True,47.5,-124.0,35.83967081398994
KIH-36,23.92,32.08,0,False,48.5,-124.0,36.535043507892055
XLK-672,56.38,36.53,1,True,49.0,-124.0,57.107762188007676
,0.0,,0,False,25.0,-123.5,649.9013610428805
,0.0,,0,False,25.5,-123.5,621.9044216456174
,0.0,,0,False,26.0,-123.5,594.5909404224371
,0.0,,0,False,26.5,-123.5,568.0595174656319
,0.0,,0,False,27.0,-123.5,542.4249275875
,0.0,,0,False,27.5,-123.5,517.8203854695086
,0.0,,0,False,28.0,-123.5,493.6930836211923
,0.0,,0,False,28.5,-123.5,461.4802132927283
,0.0,,0,False,29.0,-123.5,429.6284438688932
,0.0,,0,False,29.5,-123.5,398.2244335448433
,0.0,,0,False,30.0,-123.5,367.3830253777871
,0.0,,0,False,30.5,-123.5,337.2586014940822
,0.0,,0,False,31.0,-123.5,308.0615703513544
,0.0,,0,False,31.5,-123.5,280.082110455947
,0.0,,0,False,32.0,-123.5,253.72334800899435
,0.0,,0,False,32.5,-123.5,229.54428298363572
,0.0,,0,False,33.0,-123.5,208.30533028020838
,0.0,,0,False,33.5,-123.5,190.98988454917068
KIH-31,-2.28,186.9,0,False,34.0,-123.5,177.85747879984027
KIH-31,-0.07,171.68,0,False,34.5,-123.5,161.73965711508367
KIH-31,1.15,162.49,0,False,35.0,-123.5,142.4726497629183
WWF-64,13.23,144.99,0,False,35.5,-123.5,117.1047257745164
WWF-64,25.74,119.44,0,False,36.0,-123.5,97.54582256901165
WWF-64,35.43,99.47,0,False,36.5,-123.5,87.62230321237743
KHB-49,47.42,71.09,0,False,37.0,-123.5,66.78143140714535
KHB-49,52.28,63.79,1,True,37.5,-123.5,56.49932043724162
WZ-2504,57.89,55.55,2,True,38.0,-123.5,45.79064452464874
WZ-2504,52.06,50.98,1,True,38.5,-123.5,33.20642340194285
KEC-82,12.76,43.61,0,False,40.0,-123.5,41.8137871791243
KEC-82,67.61,33.11,1,True,40.5,-123.5,34.207035157110745
WZ-2550,18.2,14.94,0,False,41.0,-123.5,31.513228369908745
WZ-2550,25.33,44.89,0,False,41.5,-123.5,40.31843877198919
KIH-37,40.75,38.32,0,False,42.0,-123.5,31.157765800682583
XKK-506,65.66,16.11,4,True,49.0,-123.5,34.44683950820546
,0.0,,0,False,25.0,-123.0,632.4230087128121
,0.0,,0,False,25.5,-123.0,603.6991820644221
,0.0,,0,False,26.0,-123.0,575.610589159582
,0.0,,0,False,26.5,-123.0,548.2548775905984
,0.0,,0,False,27.0,-123.0,521.7473416073149
,0.0,,0,False,27.5,-123.0,496.22392899095587
,0.0,,0,False,28.0,-123.0,471.84437313050256
,0.0,,0,False,28.5,-123.0,448.7951273459521
,0.0,,0,False,29.0,-123.0,418.35786514270217
,0.0,,0,False,29.5,-123.0,386.1018336799878
,0.0,,0,False,30.0,-123.0,354.2765781112359
,0.0,,0,False,30.5,-123.0,323.0094541046655
,0.0,,0,False,31.0,-123.0,292.4795163215926
,0.0,,0,False,31.5,-123.0,262.9436715008159
,0.0,,0,False,32.0,-123.0,234.77740228689592
,0.0,,0,False,32.5,-123.0,208.53640106725922
,0.0,,0,False,33.0,-123.0,185.04156433189905
,0.0,,0,False,33.5,-123.0,165.4668509191465
KIH-31,1.14,162.98,0,False,34.0,-123.0,151.34108966783538
KIH-31,7.84,145.44,0,False,34.5,-123.0,135.84619671455246
KIH-31,13.06,134.66,0,False,35.0,-123.0,124.15008732632539
WWF-64,20.13,129.75,0,False,35.5,-123.0,97.88609853907379
WWF-64,34.8,100.52,0,False,36.0,-123.0,73.54874545307767
WWF-64,51.53,75.9,1,True,36.5,-123.0,60.199371252964326
KHB-49,62.2,47.9,1,True,37.0,-123.0,44.760512846832974
KEC-82,22.9,65.77,0,False,40.0,-123.0,41.85236923395174
WZ-2550,15.7,46.31,0,False,40.5,-123.0,33.69213759965583
WZ-2550,7.84,39.23,0,False,41.0,-123.0,39.379454324151034
,0.0,,0,False,25.0,-122.5,615.9319481312194
,0.0,,0,False,25.5,-122.5,586.4795850946111
,0.0,,0,False,26.0,-122.5,557.6077698572248
,0.0,,0,False,26.5,-122.5,529.4114966438472
,0.0,,0,False,27.0,-122.5,502.0046125057623
,0.0,,0,False,27.5,-122.5,475.5236305546103
,0.0,,0,False,28.0,-122.5,450.1319948672408
,0.0,,0,False,28.5,-122.5,426.02453302658125
,0.0,,0,False,29.0,-122.5,403.431525445609
