,best_callsign,best_field_strength,best_distance_km,stations_above_threshold,covered,city,state_id,lat,lng,population,county_name,county_name_clean,rurality_multiplier,hazard_multiplier,access_multiplier,coastal_flood_count,wildfire_count,hurricane_count,tornado_count,coastal_flood_count_pct,wildfire_count_pct,hurricane_count_pct,tornado_count_pct,event_exposure_score,gap_depth,combined_multiplier,priority_score
1,KIH-62,21.18,97.23,0,False,Bakersfield,CA,35.3528,-119.0354,567585.0,Kern,Kern,1.125,1.8370639876136627,1.0955922267679719,0,27,0,0,0.42684954280964255,0.9139650872817955,0.4553200332502078,0.13528678304239403,0.48285536159601,28.82,1.3350480659635797,21838448.852904625
2,WWF-47,33.73,39.66,0,False,Provo,UT,40.2458,-111.6457,501690.0,Utah,Utah,1.125,1.765424047229255,1.0592662337662337,0,0,0,0,0.42684954280964255,0.2912510390689942,0.4553200332502078,0.13528678304239403,0.3271768495428097,16.270000000000003,1.3018277787678427,10626164.427429738
3,KWO-37,34.37,76.94,0,False,Murrieta,CA,33.572,-117.1909,476630.0,Riverside,Riverside,1.0,1.797485115931545,1.0985074093233174,0,0,0,0,0.42684954280964255,0.2912510390689942,0.4553200332502078,0.13528678304239403,0.3271768495428097,15.630000000000003,1.275690007770727,9503542.166950796
4,KEC-78,37.22,41.78,0,False,Ogden,UT,41.2281,-111.9677,571457.0,Weber,Weber,1.125,1.7073133602063542,1.0799275862068964,0,0,0,0,0.42684954280964255,0.2912510390689942,0.4553200332502078,0.13528678304239403,0.3271768495428097,12.780000000000001,1.2903049065886925,9423381.193436928
5,WWG-41,32.13,30.22,0,False,Scottsdale,AZ,33.6872,-111.865,246645.0,Maricopa,Maricopa,1.0,1.7972624696211128,1.0988175733800933,0,0,0,0,0.42684954280964255,0.2912510390689942,0.4553200332502078,0.13528678304239403,0.3271768495428097,17.869999999999997,1.2757169363080634,5622781.2711144
6,KWO-37,39.82,18.11,0,False,Santa Clarita,CA,34.4119,-118.5036,266958.0,Los Angeles,Los Angeles,1.0,1.8836580423940148,1.111222670328002,3,145,0,0,0.8902743142144638,0.9678927680798005,0.4553200332502078,0.13528678304239403,0.6121934746467165,10.18,1.3061171423760052,3549546.3165611303
7,WZ-2505,42.54,31.42,0,False,Lancaster,CA,34.6934,-118.1753,348760.0,Los Angeles,Los Angeles,1.0,1.7981530548628428,1.111222670328002,0,0,0,0,0.42684954280964255,0.2912510390689942,0.4553200332502078,0.13528678304239403,0.3271768495428097,7.460000000000001,1.2798079154433368,3329739.7320815357
8,KWO-37,39.33,36.82,0,False,Thousand Oaks,CA,34.1914,-118.8755,218548.0,Ventura,Ventura,1.125,1.8793342462863196,1.0975819936958235,3,142,0,0,0.8902743142144638,0.9666458852867831,0.4553200332502078,0.13528678304239403,0.6118817539484621,10.670000000000002,1.3486665353791207,3144965.150302965
9,WNG-637,28.96,20.89,0,False,San Marcos,CA,33.135,-117.1743,95261.0,San Diego,San Diego,1.0,1.889104350288401,1.0887296790344045,36,420,0,0,0.9604114713216958,0.9970906068162926,0.4553200332502078,0.13528678304239403,0.6370272236076475,21.04,1.3008720090224015,2607326.632219202
10,KEC-94,25.1,17.79,0,False,Goodyear,AZ,33.2613,-112.3622,77258.0,Maricopa,Maricopa,1.0,1.7972624696211128,1.0988175733800933,0,0,0,0,0.42684954280964255,0.2912510390689942,0.4553200332502078,0.13528678304239403,0.3271768495428097,24.9,1.2757169363080634,2454127.54272568
11,WNG-704,43.76,22.65,0,False,Reading,PA,40.34,-75.9266,264736.0,Berks,Berks,1.125,1.8104307654845075,1.1063736025392348,0,1,0,4,0.42684954280964255,0.6357024106400665,0.4553200332502078,0.6343516209476309,0.5380559019118869,6.240000000000002,1.330170574776536,2197378.792652417
12,WXK-94,21.17,61.28,0,False,Manhattan,KS,39.1883,-96.605,57442.0,Riley,Riley,1.25,1.5504879460064849,1.0721375,0,0,0,5,0.42684954280964255,0.2912510390689942,0.4553200332502078,0.7100997506234414,0.4708800914380715,28.83,1.2877309064635338,2132550.4505593274
13,KEC-57,5.87,43.24,0,False,Sonora,CA,37.9819,-120.3828,27799.0,Tuolumne,Tuolumne,1.375,1.7303379195141917,1.1224346405228758,0,4,0,0,0.42684954280964255,0.7674563591022444,0.4553200332502078,0.13528678304239403,0.4462281795511222,44.13,1.4066223261652515,1725601.8882088433
14,KEC-78,36.71,29.49,0,False,Orem,UT,40.2988,-111.699,97499.0,Utah,Utah,1.125,1.765424047229255,1.0592662337662337,0,0,0,0,0.42684954280964255,0.2912510390689942,0.4553200332502078,0.13528678304239403,0.3271768495428097,13.29,1.3018277787678427,1686858.5887417216
15,WNG-692,27.12,38.76,0,False,Eagle Pass,TX,28.7118,-100.4832,54091.0,Maverick,Maverick,1.25,1.561826984701097,1.1635230769230769,0,0,0,1,0.42684954280964255,0.2912510390689942,0.4553200332502078,0.3299044056525353,0.375831255195345,22.88,1.319338480499746,1632816.0476905247
16,WNG-637,37.89,24.16,0,False,Vista,CA,33.1895,-117.2386,101659.0,San Diego,San Diego,1.0,1.888948489939274,1.0887296790344045,36,315,0,0,0.9604114713216958,0.9950124688279302,0.4553200332502078,0.13528678304239403,0.6365076891105569,12.11,1.3008240519919012,1601432.119570495
